Plot,GroupedTreeSpecies,Treedata.Tree_Decay,Treedata.DBH_cm ,,
38,2,3,33.5,,
38,2,3,41.5,,
38,2,4,26,,
38,2,4,28,,
38,2,5,25,,
38,2,4,37,,
38,2,4,35,,
38,2,4,45,,
38,2,4,31,,
38,2,4,38.5,,
38,2,4,28,,
38,NA,4,10.5,,
38,2,5,22.5,,
38,2,4,35,,
38,2,5,30.5,,
38,2,4,32,,
38,2,3,39.5,,
38,2,3,8.5,,
38,2,4,9,,
38,2,3,21.5,,
38,2,3,8.5,,
38,2,4,13,,
38,2,5,27,,
38,2,3,33,,
38,2,3,7,,
38,1,4,8,,
38,2,3,29.5,,
38,2,3,17.5,,
38,2,3,11.5,,
38,2,3,12,,
38,2,5,23,,
38,2,4,8,,
38,2,3,13,,
38,2,3,35.5,,
38,2,5,16,,
38,2,4,7.5,,
38,2,4,45.5,,
38,2,3,10,,
39,1,4,7.5,,
39,1,2,8.5,,
39,2,2,42.5,,
39,2,2,62,,
39,2,2,11,,
39,2,2,11.5,,
39,2,2,13.5,,
39,2,2,20.5,,
39,2,3,17,,
39,2,2,59.5,,
